1,Intelligence ,Alfred N. Whitehead,"Intelligence is quickness to apprehend as distinct from ability, which is capacity to act wisely on the thing apprehended."
2,Intelligence ,John Naisbitt,Intuition becomes increasingly valuable in the new information society precisely because there is so much data.
3,Intelligence ,Christopher Morley,The unluckiest insolvent in the world is the man whose expenditure is too great for his income of ideas.
4,Intelligence ,Spanish proverb,To the good listener half a word is enough.
5,Intelligence ,Yevgeny Yevtushenko,Time has a way of demonstrating . . . the most stubborn are the most intelligent.
6,Intelligence ,Thomas a Kempis,"Intelligence must follow faith, never precede it, and never destroy it."
7,Intelligence ,J. Martin Klotsche,"Intelligence is derived from two words - inter and legere - inter meaning 'between' and legere meaning 'to choose'. An intelligent person, therefore, is one who has learned 'to choose between'. He knows that good is better than evil, that confidence should supersede fear, that love is superior to hate, that gentleness is better than cruelty, forbearance than intolerance, compassion than arrogance, and that truth has more virtue than ignorance."
8,Intelligence ,Lewis Mumford,One of the functions of intelligence is to take account of the dangers that come from trusting solely to the intelligence.
9,Intelligence ,Simone Weil,The intelligent man who is proud of his intelligence is like the condemned man who is proud of his large cell.
10,Intelligence ,Marya Mannes,The sign of an intelligent people is their ability to control emotions by the application of reason.
11,Intelligence ,George S. Patton,Never tell people how to do things. Tell them what to do and they will surprise you with their ingenuity.
12,Intelligence ,Woodrow Wilson,"I not only use all the brains I have, but all I can borrow."
13,Intelligence ,Henry Kissinger,"Intelligence is not all that important in the exercise of power and is often, in point of fact, useless. Just as a leader doesn't need intelligence, a man in my job doesn't need too much of it either."
14,Intelligence ,Wilson Mizner,The cuckoo who is on to himself is halfway out of the clock.
15,Intelligence ,Gerald Ford,I've had a lot of experience with people smarter than I am.
16,Day ,Jacob Bobart,Think that day lost whose (low) descending sun Views from thy hand no noble action done.
17,Day ,Carrie Jacobs Bond,"For mem'ry has painted this perfect day. With colors that never fade, And we find at the end of a perfect day, The soul of a friend we've made"
18,Day ,Thomas Fuller,What a day may bring a day may take away.
19,Day ,Old English Rhyme,"Monday for wealth, Tuesday for health, Wednesday the best day of all: Thursday for crosses, Friday for losses, Saturday no luck at all."
20,Day ,Isaac Watts,One glance of Thine creates a day.
21,Luck ,Alfred Hitchcock,"Luck is everything. ... My good luck in life was to be a really frightened person. I'm fortunate to be a coward, to have a low threshold of fear, because a hero couldn't make a good suspense film."
22,Luck ,Marian Erickson,"Most of life is choices, and the rest is pure dumb luck."
23,Luck ,Mary Elizabeth Braddon,Exceptional talent does not always win its reward unless favoured by exceptional circumstances.
24,Luck ,Dwight D. Eisenhower,"I would rather have a lucky general than a smart general. ... They win battles, and they make me lucky."
25,Luck ,Coretta Scott King,"There is a spirit and a need and a man at the beginning of every great human advance. Every one of these must be right for that particular moment of history, or nothing happens."
26,Luck ,Donald Trump,Everything in life is luck.
27,Luck ,Homer,"'Tis man's to fight, but Heaven's to give success."
28,Luck ,Mike Wallace,"I am persuaded that luck and timing have, in my case, been very important."
29,Luck ,Arthur Hailey,I have been extraordinarily lucky. Anyone who pretends that some kind of luck isn't involved in his success is deluding himself.
30,Luck ,John Webster,'Tis better to be fortunate than wise.
31,Luck ,Joan Ganz Cooney,"I wish I could tell you that the Children's Television Workshop and Sesame Street were thanks to my genius, but it really was a lucky break."
32,Luck ,William E. Woodward,"In the queer mess of human destiny, the determining factor is luck."
33,Luck ,James Fixx,Much of my good fortune was a matter of nothing more clever on my part than luck.
34,Luck ,Mark Twain,Name the greatest of all inventors: Accident.
35,Luck ,Francois de La Rochefoucauld,"Though men pride themselves on their great actions, often they are not the result of any great design, but of chance."
36,Luck ,John Jakes,"No writer should minimize the factor that affects everyone, but is beyond control: luck."
37,Luck ,Merv Griffin,"Everything that happened to me happened by mistake. I don't believe in fate. It's luck, timing and accident."
38,Luck ,Anonymous,Luck always seems to be against the man who depends on it.
39,Luck ,Flora Whittemore,The doors we open and close each day decide the lives we live.
40,Luck ,Anonymous,Good luck is often with the man who doesn't include it in his plans.
41,Luck ,Anonymous,"Depend on the rabbit's foot if you will, but it didn't work for the rabbit!"
42,Luck ,Ignazio Silone,"Destiny is the invention of the cowardly, and the resigned."
43,Luck ,Amelia Barr,"This world is run with far too tight a rein for luck to interfere. Fortune sells her wares; she never gives them. In some form or other, we pay for her favors; or we go empty away."
44,Luck ,Lady Murasaki,Foolish indeed are those who trust to fortune.
45,Luck ,Phyllis Bottome,Luck enters into every contingency. You are a fool if you forget it-and a greater fool if you count upon it.
46,Luck ,Matthew Arnold,They who await no gifts from chance have conquered fate.
47,Luck ,Joyce Carol Oates,"The worst cynicism, a belief in luck."
48,Luck ,Ralph Waldo Emerson,To believe in luck ... is skepticism.
49,Luck ,Ralph Waldo Emerson,"Shallow men believe in luck, wise and strong men in cause and effect."
50,Luck ,Calvin Coolidge,Those who trust to chance must abide by the results of chance.
51,Luck ,Benjamin Disraeli,Luck is what a capricious man believes in.
52,Luck ,Hannah Arendt,Luck serves ... as rationalization for every people that is not master of its own destiny.
53,Luck ,John Dryden,"It is a madness to make fortune the mistress of events, because in herself she is nothing, but is ruled by prudence."
54,Luck ,Voltaire,Luck is a word devoid of sense; nothing can exist without a cause.
55,Luck ,Johann von Goethe,"Woe to him who would ascribe something like reason to Chance, and make a religion of surrendering to it."
56,Luck ,James Russell Lowell,"Fortune is the rod of the weak, and the staff of the brave."
57,Luck ,B. C. Forbes,The man who is intent on making the most of his opportunities is too busy to bother about luck.
58,Luck ,Chuang-tzu,Luck implies an absolute absence of any principle.
59,Luck ,Jerry Delia Femina,"I'm hardnosed about luck. I think it sucks. Yeah, if you spend seven years looking for a job as a copywriter, and then one day somebody gives you a job, you can say, ""Gee, I was lucky I happened to go up there today."" But dammit, I was going to go up there sooner or later in the next seventy years. ... If you're persistent in trying and doing and working, you almost make your own fortune."
60,Luck ,Louisa May Alcott,I resolved to take Fate by the throat and shake the living out of her.
61,Luck ,Elizabeth Blackwell,"I must have something to engross my thoughts, some object in life which will fill this vacuum and prevent this sad wearing away of the heart."
62,Luck ,Kathleen Tierney Andrus,"To wait for someone else, or to expect someone else to make my life richer, or fuller, or more satisfying, puts me in a constant state of suspension."
63,Luck ,Red Blaik,The champion makes his own luck.
64,Luck ,Baltasar Gracian,"It is a great piece of skill to know how to guide your luck, even while waiting for it."
65,Luck ,Anais Nin,"I was thinking of my patients, and how the worst moment for them was when they discovered they were masters of bad or good luck. When they could no longer blame fate, they were in despair."
66,Luck ,Baltasar Gracian,"Some are satisfied to stand politely before the portals of Fortune and to await her bidding; better those who push forward, who employ their enterprise, who on the wings of their worth and valor seek to embrace luck, and to effectively gain her favor."
67,Luck ,Sophocles,Chance never helps those who do not help themselves.
68,Luck ,E. M. Forster,"Failure and success seem to have been allotted to men by their stars. But they retain the power of wriggling, of fighting with their star or against it, and in the whole universe the only really interesting movement is this wriggle."
69,Luck ,Persian proverb,Go and wake up your luck.
70,Luck ,David Liederman,People make their own luck.
71,Luck ,Rosellen Brown,"When it comes time to do your own life, you either perpetuate your childhood or you stand on it and finally kick it out from under."
72,Luck ,William McFee,"If fate means you to lose, give him a good fight anyhow."
73,Luck ,Mary Pickford,"I was forced to live far beyond my years when just a child, now I have reversed the order and I intend to remain young indefinitely."
74,Luck ,Henry Miller,We create our fate every day ... most of the ills we suffer from are directly traceable to our own behavior.
75,Luck ,Jeanne Detourbey,"Of course, fortune has its part in human affairs, but conduct is really much more important."
76,Luck ,Barbara Bush,"You don't just luck into things.... You build step by step, whether it's friendships or opportunities."
77,Luck ,Louise Erdrich,"I got well by talking. Death could not get a word in edgewise, grew discouraged, and traveled on."
78,Luck ,Jinger Heath,You are in the driver's seat of your life and can point your life down any road you want to travel. You can go as fast or as slow as you want to go ... and you can change the road you're on at any time.
79,Luck ,Publilius Syrus,"We must master our good fortune, or it will master us."
80,Luck ,Thomas Jefferson,"I'm a great believer in luck, and I find the harder I work, the more I have of it."
81,Luck ,Shirley Temple Black,Good luck needs no explanation.
82,Luck ,Max O'Relling,"Luck means the hardships and privations which you have not hesitated to endure, the long nights you have devoted to work. Luck means the appointments you have never failed to keep, the trains you have never failed to catch."
83,Luck ,Langston Coleman,Luck is what you have left over after you give ioo percent.
84,Luck ,Emily Dickinson,"Luck is not chance, it's toil; fortune's expensive smile is earned."
85,Luck ,James B. Hill,The lucky fellow is the plucky fellow who has been burning midnight oil and taking defeat after defeat with a smile.
86,Luck ,Martina Arroyo,There is no such thing as making the miracle happen spontaneously and on the spot. You've got to work.
87,Luck ,Lucille Ball,"I don't know anything about luck. I've never banked on it, and I'm afraid of people who do. Luck to me is something else; hard work and realizing what is opportunity and what isn't."
88,Luck ,Grenville Kleiser,"Men who have attained things worth having in this world have worked while others idled, have persevered when others gave up in despair, have practiced early in life the valuable habits of self-denial, industry, and singleness of purpose. As a result, they enjoy in later life the success so often erroneously attributed to good luck."
89,Luck ,Dr. Joyce Brothers,I don't believe in luck. We make our own good fortune.
90,Luck ,Dianne Feinstein,You have to learn the rules of the game. And then you have to play better than anyone else.
91,Luck ,Don Sutton,Luck is the by-product of busting your fanny.
92,Luck ,Armand Hammer,"When you work seven days a week, fourteen hours a day, you get lucky."
93,Luck ,Amy Grant,"The more you invest in a marriage, the more valuable it becomes."
94,Luck ,Ursula K. LeGuin,"Love doesn't just sit there, like a stone, it has to be made, like bread; remade all the time, made new."
95,Luck ,Plutarch,"No man ever wetted clay and then left it, as if there would be bricks by chance and fortune."
96,Luck ,L. M. Montgomery,Some people go through life trying to find out what the world holds for them only to find out too late that it's what they bring to the world that really counts.
97,Luck ,Margaret Thatcher,Pennies do not come from heaven- they have to be earned here on earth.
98,Luck ,Frank A. Clark,It's hard to detect good luck-it looks so much like something you've earned.
99,Luck ,Dr. James H. Austin,Chance favors those in motion.
100,Luck ,Ralph Waldo Emerson,"Work and acquire, and thou hast chained the wheel of Chance."
101,Luck ,Emily Dickinson,"Superiority to fate is difficult to gain, 'tis not conferred of any, but possible to earn."
102,Luck ,Thomas Hardy,Some folk want their luck buttered.
103,Luck ,Benjamin Franklin,"Diligence is the mother of good luck, and God gives all things to industry."
104,Luck ,Oliver Goldsmith,Fortune is ever seen accompanying industry.
105,Luck ,Dr. Denton Cooley,I find I'm luckier when I work harder.
106,Luck ,Anonymous,Good luck is a lazy man's estimate of a worker's success.
107,Luck ,Arab proverb,"Throw a lucky man into the sea, and he will come up with a fish in his mouth."
108,Luck ,Miguel de Cervantes,As ill-luck would have it.
109,Luck ,James A. Garfield,A pound of pluck is worth a ton of luck.
110,Luck ,Gipsy Proverb,Behind bad luck comes good luck.
111,Self-Praise ,St. Clement,God hates those who praise themselves.
112,Self-Praise ,W. S. Gilbert,"If you wish in this world to advance Your merits you're bound to enhance; You must stir it and stump it, And blow your own trumpet, Or, trust me, you haven't a chance."
113,Self-Praise ,Bible,"Let another man praise thee, and not thine own mouth."
114,Mortality ,Bible,"All flesh shall perish together, and man shall turn again unto dust."
115,Mortality ,William Knox,"Oh, why should the spirit of mortal be proud? Like a fast-flitting meteor, a fast-flying cloud, A flash of the lightning, a break of the wave, He passes from life to his rest in the grave."
116,Independence ,Miguel de Cervantes,I never thrust my nose into other men's porridge. It is no bread and butter of mine: Every man for himself and God for us all.
117,Independence ,Ralph Waldo Emerson,"Can anything be so elegant as to have few wants, and to serve them one's self?"
118,Independence ,Edward P. Philpots,"Voyager upon life's sea: -  To yourself be true, And whate'er your lot may be, Paddle your own canoe."
119,Independence ,Henry David Thoreau,"I would rather sit on a pumpkin, and have it all to myself, than to be crowded on a velvet cushion."
120,Perseverance ,Maria Weston Chapman,"Grudge no expense-yield to no opposition-forget fatigue-till, by the strength of prayer and sacrifice, the spirit of love shall have overcome."
121,Perseverance ,Toni Morrison,There is an incredible amount of magic and feistiness in black men that nobody has been able to wipe out. But everybody has tried.
122,Perseverance ,Bette Davis,To look back is to relax one's vigil.
123,Perseverance ,Woody Hayes,There's nothing in this world that comes easy. There are a lot of people who aren't going to bother to win. We learn in football to get up and go once more.
124,Perseverance ,Marie Curie,"Life is not easy for any of us. But what of that? We must have perseverance and above all confidence in ourselves. We must believe that we are gifted for something, and that this thing, at whatever cost, must be attained."
125,Perseverance ,William E. Holler,"You can do what you want to do, accomplish what you want to accomplish, attain any reasonable objective ... if you want it, if you will to do it, if you work to do it, over a sufficiently long period of time."
126,Perseverance ,Euripides,"To persevere, trusting in what hopes he has, is courage in a man. The coward despairs."
127,Perseverance ,Sherry Lansing,"If you don't wake up with something in your stomach every day that makes you think, ""I want to make this movie,"" it'll never get made."
128,Perseverance ,Johann von Goethe,"There are but two roads that lead to an important goal and to the doing of great things: strength and perseverance. Strength is the lot of but a few privileged men; but austere perseverance, harsh and continuous, may be employed by the smallest of us and rarely fails of its purpose, for its silent power grows irresistibly greater with time."
129,Perseverance ,George Matheson,We conquer by continuing.
130,Perseverance ,Estee Lauder,"When you stop talking, you've lost your customer."
131,Perseverance ,George Cukor,"When it goes wrong, you feel like cutting your throat, but you go on. You don't let anything get you down so much that it beats you or stops you."
132,Perseverance ,Anna Pavlova,"To tend, unfailingly, unflinchingly, towards a goal, is the secret of success."
133,Perseverance ,Samuel Johnson,"Great works are performed not by strength, but by perseverance."
134,Perseverance ,Henry Ward Beecher,"Any man can work when every stroke of his hands brings down the fruit rattling from the tree ... but to labor in season and out of season, under every discouragement... that requires a heroism which is transcendent."
135,Perseverance ,Clara McBride Hale,"Until I die, I'm going to keep doing. My people need me. They need somebody that's not taking from them and is giving them something."
136,Perseverance ,Josh Billings,Be like a postage stamp-stick to one thing until you get there.
137,Perseverance ,Charles F. Kettering,"Keep on going, and the chances are that you will stumble on something, perhaps when you are least expecting it. I never heard of anyone ever stumbling on something sitting down."
138,Perseverance ,Sir Thomas Foxwell Buxton,"With ordinary talent and extraordinary perseverance, all things are attainable."
139,Perseverance ,Oliver Wendell Holmes,"For me, at least, there came moments when faith wavered. But there is the great lesson and the great triumph: keep the fire burning until, by and by, out of the mass of sordid details there comes some result."
140,Perseverance ,Calvin Coolidge,Nothing in the world can take place of persistence. Talent will not; nothing is more common than unsuccessful individuals with talent. Genius will not; unrewarded genius is almost a proverb. Education will not; the world is full of educated derelicts. Persistence and determination alone are omnipotent.
141,Perseverance ,Louis Pasteur,Let me tell you the secret that has led me to my goal: my strength lies solely in my tenacity.
142,Perseverance ,Anonymous,In the game of life nothing is less important than the score at half time.
143,Perseverance ,Johann von Goethe,"In the realm of ideas everything depends on enthusiasm; in the real world, all rests on perseverance."
144,Perseverance ,Welsh proverb,Without perseverance talent is a barren bed.
145,Perseverance ,Anonymous,Don't be discouraged. It's often the last key in the bunch that opens the lock.
146,Perseverance ,Oren Arnold,"Dear God, I pray for patience. And I want it right now!"
147,Perseverance ,Jean Kerr,"If you can keep your head when all about you are losing theirs, it's just possible you haven't grasped the situation."
148,Perseverance ,Dolly Parton,"The way I see it, if you want the rainbow, you gotta put up with the rain."
149,Perseverance ,Margaret Thatcher,"I am extraordinarily patient, provided I get my own way in the end."
150,Perseverance ,Anonymous,"If you want your ship to come in, you must build a dock."
151,Perseverance ,Charles Haddon Spurgeon,By perseverance the snails reached the ark.
152,Perseverance ,H. L. Mencken,Hope: A pathological belief in the occurrence of the impossible.
153,Perseverance ,G. K. Chesterton,Do not free a camel of the burden of his hump; you may be freeing him from being a camel.
154,Perseverance ,Anonymous,"Experience is a hard teacher. She gives the test first, the lesson afterwards."
155,Perseverance ,Anonymous,Ideas are a dime a dozen. People who put them into action are priceless.
156,Perseverance ,Brian Morgan,"As an entrepreneur, I am often asked how I kept my perseverance. Well, persevere comes from the Latin roots purse, as in ""money,"" and sever, as in ""cut off."" That's why I persevered."
157,Perseverance ,Walter Elliott,"Perseverance is not a long race; it is many short races, one after another."
158,Perseverance ,Anonymous,The waters wear the stones.
159,Perseverance ,Napoleon,Victory belongs to the most persevering.
160,Perseverance ,William Shakespeare,"Many strokes, though with a little axe, Hew down and fell the hardest-timber'd oak."
161,Perseverance ,Henry David Thoreau,"Do what you love. Know your own bone; gnaw at it, bury it, unearth it, and gnaw it still."
162,Bravery ,Anonymous,"How sleep the brave, who sink to rest, By all their country's wishes blest!"
163,Bravery ,Paul Chatfield,"Bravery is a cheap and vulgar quality, of which the brightest instances are frequently found in the lowest savages."
164,Bravery ,La Rochefoucauld,True bravery is shown by performing without witness what one might be capable of doing before all the world.
165,Bravery ,John Dryden,None but the brave deserves the fair.
166,Bravery ,Wendell Phillips,Physical bravery is an animal instinct; moral bravery is a much higher and truer courage.
167,Justice ,Odell Shepard,"It is always wise, as it is also fair, to test a man by the standards of his own day, and not by those of another."
168,Justice ,Terence,The strictest justice is sometimes the greatest injustice.
169,Justice ,H. L. Mencken,Injustice is relatively easy to bear; what stings is justice.
170,Justice ,"George, Lord Halifax","Men are not hanged for stealing horses, but that horses may not be stolen."
171,Justice ,Thomas Fuller,A fox should not be on the jury at a goose's trial.
